"Row-names","Symbol","T-C___log2FoldChange","T-C___padj","data","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000017326","Ctbp2",-0.370289061063838,0.644385166244758," ",3.24153069449549,3.33781246848906,3.08449104497935,3.27112163087974,2.90075238056756,2.98002973018284,3.21569374796709,2.40253563482961
"ENSRNOG00000017328","Pter",-0.962124293879209,NA," ",2.25068820939312,2.82248684954276,3.08449104497935,3.27112163087974,1.5560356300827,2.3600873807123,2.27088736683398,1.94793199463306
"ENSRNOG00000017329","Tmem129",0.120848393436824,NA," ",2.92189743353692,2.82248684954276,3.31889680020623,2.41331857269211,3.02058636635697,2.84820163537834,3.21569374796709,3.02600807093504
"ENSRNOG00000017330","AC103221.1",-0.652764537944946,NA," ",0,1.33253708570291,1.31990793961555,0,0,0.756171397546499,1.18611994618132,0
"ENSRNOG00000017332","Dapk2",-1.07675896440154,NA," ",2.5106765642962,2.01324909346388,2.80446811925906,2.90505700106373,1.842883542693,1.61683158547724,1.5425549484562,1.94793199463306
"ENSRNOG00000017333","Syt4",0.111381660945945,0.794895787782277," ",5.08287750208204,5.03946684811377,5.42297468257821,5.78364739530158,5.44922593111968,5.30685044505498,5.47130412222424,5.50151138748872
"ENSRNOG00000017340","Wdr12",-0.437969536957298,0.439569874219042," ",3.82342772734509,3.87440999862249,3.99684226304938,4.19439681223021,3.66023084185906,3.66823728488624,3.48583858098504,3.36305685110139
"ENSRNOG00000017342","Zdhhc7",-0.0997314867305721,0.908224770780828," ",3.24153069449549,3.53967525712525,3.31889680020623,3.27112163087974,3.2339808219747,3.21226256974324,3.40128875402947,3.14731970635557
"ENSRNOG00000017346","Myt1",0.182969906414537,NA," ",2.25068820939312,2.01324909346388,1.99747436360799,1.66151763179207,2.28714559307712,2.15218735069341,2.06643335096257,2.19306633226287
"ENSRNOG00000017349","Tbc1d10b",0.374457010261854,0.498355697206087," ",4.37401460126137,3.87440999862249,3.69733061414405,3.27112163087974,4.20664522629162,4.29300736711407,4.33134653160367,4.29118879975745
