Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000003285,4.063007421,2.189975951,3.91500048,2.109303879,4.493182736,5.099038817,5.099960699,6.922176129
ENSRNOG00000041998,0,0,0,0,0,0,0,0
ENSRNOG00000003198,42.33686888,39.44444699,33.05190881,35.42609269,61.27888222,60.26720905,49.12545964,65.69340077
ENSRNOG00000015118,7.19453277,3.30325151,3.250237425,2.998017643,8.420788808,9.714713864,8.714192681,8.242202113
ENSRNOG00000002294,12.25850916,5.437079552,4.771625156,1.796467368,13.20815451,15.19537565,17.242429,14.12043429
ENSRNOG00000021987,0,0,0.625045659,0.305920168,0.127074278,0,0,0
ENSRNOG00000046271,28.91337722,15.10187968,16.90771693,10.67375891,47.35677755,46.16999781,46.41417278,42.82135034
ENSRNOG00000032439,0.398957455,0.376162454,0.212584845,0.091040937,0.378169292,0,0.383248961,0.253306882
ENSRNOG00000048608,13.70870747,9.564826337,11.62664324,7.612165978,16.89271821,12.84376918,19.57782826,17.77058609
ENSRNOG00000061236,13.57814835,9.177063107,11.44402581,8.185685333,17.06597686,13.95372455,18.43651989,19.87404322
ENSRNOG00000002420,11.06831195,7.505911162,7.418958337,3.775285489,17.04826968,14.20988352,18.03255682,12.97415998
ENSRNOG00000054431,0,0,0,0,0,0,0.77751633,0
ENSRNOG00000002452,7.615615786,4.052859722,5.698024433,2.404156215,11.82398656,11.58894842,13.76403786,7.692558243
ENSRNOG00000059398,0,0,0,0,0.373111709,0,0,0
ENSRNOG00000058739,51.80700435,42.68327668,37.76867978,22.10033635,72.63810681,70.80917518,65.4344896,68.42516454
ENSRNOG00000002520,84.60671341,54.69507973,45.24794337,26.14510216,105.0921311,118.2165163,112.3959263,97.22239004
ENSRNOG00000021902,0.616674237,0,0,1.313417253,0.272786116,0.499303729,1.105801002,0
ENSRNOG00000002532,0,0,0,0.186564951,0,0,0,0
ENSRNOG00000002539,0,0,0,0,0,0,0,0
ENSRNOG00000002564,0,0,0,0,0,0,0,0
ENSRNOG00000002566,0,0,0,0,0,0,0,0
ENSRNOG00000002568,1.058551728,1.39729782,0.911158108,0.065034965,1.080578806,1.681194335,1.204602764,0
ENSRNOG00000057378,6.889330165,3.86102079,3.987450186,2.442892844,15.88114356,15.14741651,12.89953256,10.52538885
ENSRNOG00000048555,0,0,0,0,0,0,0,0
ENSRNOG00000002635,18.61949793,12.7262818,11.67796624,6.774071793,28.31426093,28.5686858,22.54574572,30.40676032
ENSRNOG00000002659,0.486406697,0.177120337,0.344086785,0.254526689,1.335489599,0.855561241,0.789499809,0.559089396
ENSRNOG00000025545,1.831705656,1.627411135,2.627762404,1.23789326,5.515972116,4.877052802,5.874304639,6.340533627
ENSRNOG00000002574,17.18636594,9.153295378,11.44721353,12.45461572,10.30286157,12.97509153,10.97670113,8.700110146
ENSRNOG00000002571,0.564031315,0.20305266,0.143441742,0.614299228,0.816543807,0.560471204,0.620633877,0.455783891
ENSRNOG00000002664,2.749314673,0.56583056,1.185369428,0.991674101,6.55157451,4.52389285,7.156430264,3.875983874
ENSRNOG00000025522,0,0,0,0.062503994,0,0,0,0.086953695
ENSRNOG00000032300,0,0,1.382866548,0,0,0,0,0
ENSRNOG00000033942,3.583631692,2.379547689,2.146787484,1.821406586,14.6128557,13.66373554,10.19406242,11.39042361
ENSRNOG00000056282,0,0,0,0,0,0,0,0
ENSRNOG00000058369,0,0,0,0,0,0,0,0
ENSRNOG00000002545,31.90939982,17.78605964,20.4131678,8.867105219,48.89696461,41.73755399,39.5134568,42.3854099
ENSRNOG00000057329,0,0,0,0,0,0,0,0
ENSRNOG00000025496,36.0897539,18.80478962,20.50255254,9.372645272,71.71857767,60.16925953,69.67246188,54.0350072
ENSRNOG00000055413,0,0,0,0,0,0,0,0
ENSRNOG00000002610,57.96982301,41.06381718,42.373016,30.14253545,57.86904678,68.9202447,67.23576956,60.74400701
ENSRNOG00000002615,12.71199745,6.23444827,9.839121776,7.143177755,16.86947276,14.4624505,17.9069486,12.50546218
ENSRNOG00000027087,8.37626534,6.514515053,6.544163799,5.062731703,7.450545908,8.57834601,7.733299961,9.558522168
ENSRNOG00000002636,30.47137485,14.18664327,14.32155413,8.485805651,91.48365318,77.50753493,75.82994743,80.41562082
ENSRNOG00000048064,0,0,0,0,0,0,0,0
ENSRNOG00000002714,8.938616326,8.357663322,6.693387918,6.652419927,13.83900283,13.24105241,12.65883102,15.04820898
ENSRNOG00000052752,0,0,0,0.246265735,0,0,0,0
ENSRNOG00000002768,0.127675826,0.25279986,0.119056316,0,0.931878037,0.232594905,0.085854115,0.4965182
ENSRNOG00000061461,0,0,0,0,0,0,0,0
ENSRNOG00000053051,0,0,0,0,0,0,0,0
ENSRNOG00000057836,0,0,0,0,0,0,0,0
ENSRNOG00000050621,0,0.911211437,0,0,0,0,0,0
ENSRNOG00000056334,0,0,0,0,0,0,0,0
ENSRNOG00000052588,0,0,0,0,0,0,0,0
ENSRNOG00000046888,0,0,0,0,0,0,0,0
ENSRNOG00000056145,0,0,0,0,0,0,0,0
ENSRNOG00000002827,33.68371337,18.40122226,19.83567536,14.20192885,68.84514978,57.78947383,57.49350489,57.25257244
ENSRNOG00000045175,0,0,0,0,0,0,0,0
ENSRNOG00000041962,0,0,0,0,0,0,0,0
ENSRNOG00000002871,18.32798177,11.33274486,13.12541326,7.523393125,30.17949396,25.85498435,30.47628744,22.42782964
ENSRNOG00000002876,1.272443851,1.60660964,0.773830451,0.530237228,1.174677056,1.209437861,2.083297343,2.520305
ENSRNOG00000002883,4.125876644,2.218819921,2.517392042,0.488191986,5.610441324,3.464332043,5.137773104,4.640914053
ENSRNOG00000021796,0.241991198,0.159715281,0,0.19327592,0.802836837,0.514325293,0.406810375,0.604979337
